Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
NA,Mathematics or statistics,20 to 99 employees,Full-stack developer,3-5 years,JavaScript;Python;HTML;CSS,"Redis;SQL Server;MySQL;PostgreSQL;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;Linux;Firebase,Django;React,25 - 34 years old,Kenya,No,NA,No
51000,"A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Database administrator;DevOps specialist;Full-stack developer;System administrator,30 or more years,JavaScript;Python;Bash/Shell,Redis;PostgreSQL;Memcached,Linux,Django,35 - 44 years old,United Kingdom,No,British pounds sterling (£),Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Engineering manager;Full-stack developer,24-26 years,NA,NA,NA,NA,NA,United States,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,18-20 years,C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,NA,35 - 44 years old,United States,No,U.S. dollars ($),No
260000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data or business analyst;Desktop or enterprise applications developer;Game or graphics developer;QA or test developer;Student,6-8 years,C;C++;Java;Matlab;R;SQL;Bash/Shell,SQL Server;PostgreSQL;Oracle;IBM Db2,Arduino;Windows Desktop or Server,NA,18 - 24 years old,South Africa,"Yes, part-time",South African rands (R),No
30000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer,6-8 years,Java;JavaScript;Python;TypeScript;HTML;CSS,MongoDB,Linux,Angular;Node.js,18 - 24 years old,United Kingdom,No,British pounds sterling (£),No
120000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Front-end developer;Full-stack developer,9-11 years,JavaScript;HTML;CSS,MongoDB,Linux,Node.js;React,18 - 24 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Designer;Front-end developer;QA or test developer,0-2 years,JavaScript;TypeScript;HTML;CSS,"MongoDB;MySQL;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Azure;Heroku,Angular;Node.js,25 - 34 years old,Nigeria,No,NA,Yes
250000,"Fine arts or performing arts (ex. graphic design, music, studio art)",100 to 499 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",30 or more years,Assembly;CoffeeScript;Erlang;Go;JavaScript;Lua;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL;Amazon DynamoDB;Apache HBase;Apache Hive;Amazon Redshift;Amazon RDS/Aurora;Elasticsearch,Amazon Echo;AWS;iOS;Linux;Mac OS;Serverless,Hadoop;Node.js;React;Spark,35 - 44 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Designer,0-2 years,NA,NA,NA,NA,NA,India,No,NA,Yes
NA,"Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Database administrator;Mobile developer;System administrator,6-8 years,NA,NA,NA,NA,NA,Spain,No,NA,No
NA,"Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,0-2 years,NA,NA,NA,NA,NA,India,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer,0-2 years,NA,NA,NA,NA,NA,Croatia,NA,NA,No
NA,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Full-stack developer,3-5 years,Java,MongoDB;MySQL;Oracle;MariaDB;Elasticsearch,Linux,Spring,NA,India,No,NA,No
0,NA,20 to 99 employees,Back-end developer;Front-end developer;Student,0-2 years,Java;JavaScript;PHP;VB.NET;HTML;CSS,SQL Server;MySQL,Windows Desktop or Server,NA,18 - 24 years old,Netherlands,"Yes, full-time",Euros (€),No
NA,"Fine arts or performing arts (ex. graphic design, music, studio art)","5,000 to 9,999 employees",Full-stack developer,3-5 years,NA,NA,NA,NA,NA,Israel,No,NA,No
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Student,0-2 years,NA,NA,NA,NA,NA,United States,"Yes, full-time",NA,No
32000,"A business discipline (ex. accounting, finance, marketing)",10 to 19 employees,Back-end developer,6-8 years,C#;SQL;HTML;CSS;Bash/Shell,SQL Server,Linux;Windows Desktop or Server,.NET Core,35 - 44 years old,Sweden,No,Swedish kroner (SEK),No
NA,NA,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist,0-2 years,C;C++;C#,NA,NA,Angular,NA,India,"Yes, full-time",NA,Yes
NA,"A business discipline (ex. accounting, finance, marketing)",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;QA or test developer;Student,3-5 years,NA,NA,NA,NA,NA,Chile,"Yes, full-time",NA,Yes
120000,"Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Database administrator;Full-stack developer;Mobile developer,15-17 years,C;C++;Go;Python;SQL;Swift,Redis;PostgreSQL;SQLite,Android;AWS;iOS;Linux;Mac OS;Firebase,Angular;Node.js,35 - 44 years old,Australia,No,Australian dollars (A$),Yes
NA,NA,500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;QA or test developer,24-26 years,C;C++;C#;Groovy;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite,Linux;Mac OS;Windows Desktop or Server,Django,45 - 54 years old,United States,No,U.S. dollars ($),No
25,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,9-11 years,C#;JavaScript;PHP;SQL;HTML;CSS,MySQL,Linux;Mac OS;Windows Desktop or Server,.NET Core,25 - 34 years old,United Kingdom,No,British pounds sterling (£),No
75000,NA,10 to 19 employees,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;QA or test developer;System administrator,18-20 years,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;MariaDB;Amazon RDS/Aurora,NA,NA,45 - 54 years old,United States,No,U.S. dollars ($),No
700000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,3-5 years,C;C++;Java;JavaScript;SQL;Swift;Kotlin,SQL Server;MySQL,Android;iOS;Firebase,Angular;Cordova,25 - 34 years old,India,No,Indian rupees (₹),No
3500,"A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Full-stack developer,9-11 years,Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,NA,Android;Linux,Angular;Node.js,35 - 44 years old,Greece,"Yes, full-time",Euros (€),Yes
582000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Front-end developer;Full-stack developer,12-14 years,C#;Java;JavaScript;PHP;SQL;HTML;CSS,Memcached;Google BigQuery,NA,Node.js;React,25 - 34 years old,Sweden,No,Swedish kroner (SEK),Yes
75000,"A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Back-end developer;Full-stack developer,3-5 years,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,6-8 years,NA,NA,NA,NA,NA,United States,No,NA,Yes
NA,"Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,9-11 years,C#;Java;JavaScript;PHP;TypeScript;HTML;CSS,MySQL;Google Cloud Storage,Amazon Echo;Mac OS;WordPress;Firebase,Angular;React,35 - 44 years old,United Kingdom,No,British pounds sterling (£),Yes
8500,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Engineering manager,3-5 years,Python;SQL;HTML;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL,Linux,Django,25 - 34 years old,Poland,No,Polish złoty (zł),No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,Java;JavaScript;PHP;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,MySQL;PostgreSQL,Android;AWS;Heroku;iOS;Linux;Mac OS;Firebase,Angular;Node.js;React;Spring,25 - 34 years old,Sweden,"Yes, full-time",Swedish kroner (SEK),Yes
44000,Web development or web design,500 to 999 employees,Back-end developer;Designer;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer,6-8 years,Java;JavaScript;Objective-C;PHP;SQL;Swift;HTML;CSS;Bash/Shell,SQL Server;MySQL,Drupal;iOS;WordPress,NA,18 - 24 years old,United States,No,U.S. dollars ($),No
60000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,3-5 years,JavaScript;PHP;HTML;CSS,PostgreSQL,NA,Angular;Node.js,25 - 34 years old,United States,No,U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Designer,18-20 years,C;C++;C#;Java;JavaScript;Lua;Objective-C;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript;HTML;CSS;Bash/Shell,"MongoDB;Redis;SQL Server;MySQL;PostgreSQL;MariaDB;Amazon DynamoDB;Amazon RDS/Aurora;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Android;AWS;Azure;Google Cloud Platform/App Engine;Serverless,Angular;Node.js,35 - 44 years old,Poland,No,NA,No
80000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,12-14 years,C;C++;Java;JavaScript;PHP;Python;Ruby;SQL;Bash/Shell,PostgreSQL,Linux,React,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Front-end developer;Full-stack developer,9-11 years,C++;F#;Java;JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;PostgreSQL,AWS;Linux;Mac OS;Serverless,.NET Core;Node.js;React,25 - 34 years old,United Kingdom,No,British pounds sterling (£),Yes
2600,NA,20 to 99 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer,6-8 years,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,SQL Server;PostgreSQL,Android;Raspberry Pi,Angular;.NET Core;Xamarin,25 - 34 years old,Belgium,"Yes, part-time",Euros (€),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Designer;Front-end developer;Game or graphics developer;Mobile developer;Student,0-2 years,NA,NA,NA,NA,NA,Argentina,"Yes, part-time",NA,Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Full-stack developer;Product manager,30 or more years,C#;CoffeeScript;Erlang;Haskell;JavaScript;Ruby,MongoDB;SQL Server;PostgreSQL,AWS;Linux,.NET Core,45 - 54 years old,United States,No,U.S. dollars ($),Yes
NA,NA,"1,000 to 4,999 employees",Data scientist or machine learning specialist;Student,9-11 years,C++;Java;JavaScript;Python;R;Swift,SQLite,iOS;Mac OS,TensorFlow,NA,Germany,"Yes, full-time",NA,No
660000,"Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Designer;Front-end developer,0-2 years,PHP;HTML;CSS,MySQL;SQLite,NA,Angular;.NET Core;Node.js,35 - 44 years old,India,No,Indian rupees (₹),No
100000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Full-stack developer,24-26 years,SQL,Oracle,Windows Desktop or Server,NA,35 - 44 years old,Russian Federation,No,Russian rubles (₽),No
74000,"Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Back-end developer;Embedded applications or devices developer,9-11 years,Assembly;C;C++;C#;Python;Rust;Bash/Shell,NA,Arduino,.NET Core;TensorFlow,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Front-end developer,6-8 years,C;C++;Java;JavaScript;PHP;Python;HTML;CSS,SQL Server;MySQL,Android;Firebase,NA,18 - 24 years old,India,No,Indian rupees (₹),No
35000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,3-5 years,JavaScript;PHP;Python;SQL;HTML;CSS,MySQL;MariaDB,WordPress,Django,25 - 34 years old,India,No,Indian rupees (₹),No
115000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,15-17 years,Erlang;Go;Groovy;Java;JavaScript;Ruby;Scala;TypeScript;Kotlin;HTML;CSS;Bash/Shell,Cassandra;MongoDB;Amazon DynamoDB,Amazon Echo;AWS;Linux,Node.js;Spring,25 - 34 years old,United States,No,U.S. dollars ($),Yes
70000,NA,20 to 99 employees,Back-end developer;Designer;Educator or academic researcher;Front-end developer,3-5 years,JavaScript;PHP;SQL;CSS;Bash/Shell,MySQL,NA,NA,35 - 44 years old,United States,No,U.S. dollars ($),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Desktop or enterprise applications developer;Embedded applications or devices developer;Full-stack developer;Game or graphics developer;Mobile developer,6-8 years,Go;Java;JavaScript;PHP;SQL;Swift;Kotlin;HTML;CSS,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB,Android;Arduino;iOS;Windows Desktop or Server;WordPress,NA,18 - 24 years old,Indonesia,"Yes, full-time",NA,Yes
90000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;DevOps specialist,15-17 years,Ruby;Bash/Shell,PostgreSQL;Elasticsearch,Linux;Mac OS,NA,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer,21-23 years,NA,NA,NA,NA,NA,United States,No,NA,No
115000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Full-stack developer,18-20 years,C#;F#;JavaScript;Lua;TypeScript;HTML;CSS,NA,Azure;Windows Desktop or Server,Angular;Node.js;Cordova,35 - 44 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Full-stack developer,9-11 years,NA,NA,NA,NA,NA,United States,No,NA,Yes
5000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;System administrator,9-11 years,C;C++;C#;Java;JavaScript;VB.NET;HTML;CSS;Bash/Shell,MySQL;MariaDB,AWS;Linux;Windows Desktop or Server,Spring,35 - 44 years old,Germany,No,Euros (€),Yes
NA,"A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Designer;Front-end developer,9-11 years,NA,NA,NA,NA,NA,India,No,NA,No
NA,NA,20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,C;C++;C#;Java;Python;SQL,SQL Server;MySQL;MariaDB,Arduino;Linux;Windows Desktop or Server,TensorFlow,18 - 24 years old,Germany,"Yes, full-time",Euros (€),Yes
105000,"Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Full-stack developer,18-20 years,NA,NA,NA,NA,NA,Ireland,No,Euros (€),No
900,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Front-end developer;Student,9-11 years,Assembly;C;C++;C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;SQLite;MariaDB;Elasticsearch,Android;Arduino;Heroku;Linux;Raspberry Pi,Angular;Django;Node.js;React,18 - 24 years old,France,"Yes, part-time",Euros (€),Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer;QA or test developer,9-11 years,Java;SQL,PostgreSQL,Linux,Spring,25 - 34 years old,Ukraine,No,Euros (€),Yes
NA,"A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Back-end developer;Data or business analyst;Database administrator;Desktop or enterprise applications developer;Educator or academic researcher;Front-end developer;QA or test developer;System administrator,18-20 years,NA,NA,NA,NA,NA,Spain,No,NA,No
NA,"A natural science (ex. biology, chemistry, physics)",10 to 19 employees,Back-end developer;Database administrator;Front-end developer;Student;System administrator,3-5 years,JavaScript;Julia;PHP;Python;SQL;VBA;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;SQLite;MariaDB,iOS;Linux;Raspberry Pi;Windows Desktop or Server;WordPress,NA,18 - 24 years old,Denmark,"Yes, full-time",Danish krone (kr),No
NA,"Fine arts or performing arts (ex. graphic design, music, studio art)","10,000 or more employees",Designer;Front-end developer;Marketing or sales professional,12-14 years,JavaScript;PHP;HTML;CSS,MySQL,SharePoint;WordPress,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
120000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;QA or test developer;System administrator,12-14 years,C;F#;Haskell;Python;Scala,MySQL;PostgreSQL;Apache HBase;Apache Hive;Amazon Redshift;Neo4j,IBM Cloud or Watson,Hadoop;Spark;Torch/PyTorch,25 - 34 years old,United States,No,U.S. dollars ($),Yes
40000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Full-stack developer,6-8 years,JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,Redis;MariaDB;Amazon DynamoDB,AWS;WordPress,Angular;Node.js,18 - 24 years old,Germany,No,Euros (€),Yes
NA,"A business discipline (ex. accounting, finance, marketing)",20 to 99 employees,"C-suite executive (CEO, CTO, etc.)",3-5 years,JavaScript;PHP;SQL;HTML;CSS,MongoDB;MySQL,AWS;Heroku,Node.js,18 - 24 years old,Dominican Republic,No,NA,No
2500,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Database administrator;Front-end developer,6-8 years,C#;Python,SQL Server,Windows Desktop or Server,NA,18 - 24 years old,China,No,Chinese yuan renminbi (¥),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Designer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer;Product manager,3-5 years,NA,NA,NA,NA,NA,United States,No,NA,No
NA,"Fine arts or performing arts (ex. graphic design, music, studio art)","1,000 to 4,999 employees",Data or business analyst;Database administrator;DevOps specialist;System administrator,9-11 years,NA,NA,NA,NA,NA,United States,No,NA,No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Mobile developer,3-5 years,NA,NA,NA,NA,NA,India,"Yes, full-time",NA,Yes
NA,NA,10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Student,6-8 years,C++;Java;JavaScript;Matlab;PHP;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;Oracle;Memcached,Windows Desktop or Server,Node.js;Cordova,18 - 24 years old,Russian Federation,"Yes, full-time",Russian rubles (₽),Yes
550000,"Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Back-end developer;Full-stack developer;QA or test developer,12-14 years,Perl;R;SQL,NA,Linux,NA,35 - 44 years old,China,No,Chinese yuan renminbi (¥),Yes
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;DevOps specialist;Engineering manager;Full-stack developer;System administrator",12-14 years,NA,NA,NA,NA,NA,Latvia,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer;System administrator,6-8 years,JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,MySQL,Android;iOS;Linux,Angular;Node.js;Cordova,25 - 34 years old,Algeria,No,NA,No
3000,"A humanities discipline (ex. literature, history, philosophy)",Fewer than 10 employees,Back-end developer;Full-stack developer;System administrator,0-2 years,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Linux,NA,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Mobile developer,3-5 years,C;Java;Objective-C;Swift,MySQL,iOS,Node.js,NA,India,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Desktop or enterprise applications developer;Front-end developer;Product manager,24-26 years,C#;JavaScript;TypeScript,NA,Windows Desktop or Server,.NET Core;Node.js,NA,United States,No,NA,Yes
15200000,"Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Front-end developer;Full-stack developer,15-17 years,Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,"MySQL;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",WordPress,React;Spring,25 - 34 years old,Colombia,No,NA,No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Product manager,12-14 years,NA,NA,NA,NA,NA,India,No,NA,Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,C;C++;Java;JavaScript;PHP;Python;Ruby;Cobol;HTML;CSS,MySQL;PostgreSQL;SQLite;Oracle;Elasticsearch,Android;Heroku;Mainframe;Firebase,Django,25 - 34 years old,India,No,Indian rupees (₹),No
32500,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,15-17 years,C#;Java;JavaScript;SQL;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,SQL Server;MySQL,Windows Desktop or Server,NA,25 - 34 years old,United Kingdom,No,British pounds sterling (£),Yes
300000,"A business discipline (ex. accounting, finance, marketing)",Fewer than 10 employees,Back-end developer;Embedded applications or devices developer;Full-stack developer,0-2 years,JavaScript;Ruby;SQL;HTML;CSS,MongoDB;Redis;SQL Server,Heroku,React,25 - 34 years old,Japan,No,Japanese yen (¥),No
43000,"A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Embedded applications or devices developer;Engineering manager,15-17 years,C++;Python;Bash/Shell,NA,Linux;Windows Desktop or Server,NA,35 - 44 years old,France,No,Euros (€),No
59500,Mathematics or statistics,"10,000 or more employees",Back-end developer;DevOps specialist;Front-end developer;Full-stack developer;Mobile developer,24-26 years,C#;Go;Java;JavaScript;Objective-C;PHP;Python;Kotlin;HTML;CSS;Bash/Shell,MongoDB;MySQL,Android;iOS;Raspberry Pi;Firebase,Angular;Node.js;React;Cordova,25 - 34 years old,United Kingdom,No,British pounds sterling (£),Yes
NA,NA,Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer",3-5 years,JavaScript;PHP;SQL;Swift;HTML;CSS,MySQL,Android;WordPress;Firebase,NA,25 - 34 years old,Indonesia,No,NA,Yes
16000,Web development or web design,Fewer than 10 employees,Mobile developer,3-5 years,C++;C#;JavaScript;PHP;Visual Basic 6;HTML;CSS,MySQL;MariaDB;Amazon RDS/Aurora,Android;AWS;Heroku;iOS;Linux;WordPress;Firebase,Node.js;Cordova;Xamarin,25 - 34 years old,Argentina,"Yes, part-time",NA,Yes
78000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer,9-11 years,Java;JavaScript;Swift;TypeScript;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite;Oracle;Elasticsearch,AWS,Angular;Node.js,NA,United States,No,U.S. dollars ($),No
120000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Game or graphics developer;Student,6-8 years,Assembly;C++;JavaScript;Matlab;Perl;Python;SQL;Swift;HTML;CSS,MySQL;PostgreSQL,Firebase,NA,18 - 24 years old,United States,"Yes, full-time",U.S. dollars ($),Yes
200000,"A business discipline (ex. accounting, finance, marketing)","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;System administrator,3-5 years,Java;JavaScript;SQL;VBA;HTML;CSS;Bash/Shell,PostgreSQL;SQLite;Oracle,NA,NA,NA,Russian Federation,No,Russian rubles (₽),No
NA,"A natural science (ex. biology, chemistry, physics)",500 to 999 employees,Data scientist or machine learning specialist,9-11 years,NA,NA,NA,NA,NA,Finland,No,NA,No
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Full-stack developer;Mobile developer,0-2 years,NA,NA,NA,NA,NA,India,"Yes, full-time",NA,No
8500,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,C;C++;C#;Python;SQL,PostgreSQL;SQLite,Arduino;Linux;Raspberry Pi;Windows Desktop or Server,Django,25 - 34 years old,Poland,No,Polish złoty (zł),No
1800,"Computer science, computer engineering, or software engineering","10,000 or more employees",QA or test developer,0-2 years,C;Java;Python;SQL;Bash/Shell,MySQL;Oracle,Android;Arduino;Linux;Raspberry Pi;Windows Desktop or Server,Django;Hadoop,25 - 34 years old,Romania,No,Euros (€),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Student,3-5 years,NA,NA,NA,NA,NA,France,"Yes, full-time",NA,Yes
2200000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Engineering manager;Mobile developer,6-8 years,Objective-C;Swift,SQLite,Android;iOS,NA,25 - 34 years old,India,No,Indian rupees (₹),Yes
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;DevOps specialist,6-8 years,NA,NA,NA,NA,NA,Russian Federation,No,NA,No
22000,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,0-2 years,Java;JavaScript;SQL,MongoDB;MySQL,NA,Node.js;Spring,18 - 24 years old,India,No,Indian rupees (₹),No
NA,NA,20 to 99 employees,NA,9-11 years,JavaScript;Ruby;Rust;HTML;CSS,PostgreSQL;Elasticsearch,AWS;iOS;Linux;Mac OS,React,25 - 34 years old,Germany,No,NA,No
6500,"Computer science, computer engineering, or software engineering",100 to 499 employees,Embedded applications or devices developer,15-17 years,Assembly;C;C++;Java;Python;Delphi/Object Pascal,NA,NA,NA,35 - 44 years old,Brazil,No,Brazilian reais (R$),No
NA,"Computer science, computer engineering, or software engineering",10 to 19 employees,Front-end developer;Student,0-2 years,NA,NA,NA,NA,NA,Bulgaria,"Yes, full-time",NA,Yes
NA,NA,500 to 999 employees,Back-end developer;Mobile developer,0-2 years,Java,SQLite,Android;iOS;Linux,NA,18 - 24 years old,"Iran, Islamic Republic of...","Yes, part-time",U.S. dollars ($),No
141625,"A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Front-end developer,6-8 years,JavaScript;TypeScript;HTML;CSS;Bash/Shell,Google BigQuery;Google Cloud Storage;Elasticsearch,Heroku;Firebase,Node.js;React,25 - 34 years old,United States,No,U.S. dollars ($),Yes
NA,"Another engineering discipline (ex. civil, electrical, mechanical)",500 to 999 employees,NA,0-2 years,VBA,NA,NA,NA,25 - 34 years old,Brazil,"Yes, part-time",NA,No
NA,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Mobile developer,3-5 years,NA,NA,NA,NA,NA,Russian Federation,No,NA,Yes
