Salary,UndergradMajor,CompanySize,DevType,YearsCoding,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,Age,Country,Student,Currency,OpenSource
NA,"Fine arts or performing arts (ex. graphic design, music, studio art)",Fewer than 10 employees,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer,6-8 years,CoffeeScript;Go;JavaScript;PHP;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;MariaDB;Memcached;Elasticsearch,NA,Angular,NA,United Kingdom,No,NA,Yes
NA,"Fine arts or performing arts (ex. graphic design, music, studio art)",100 to 499 employees,Front-end developer,6-8 years,NA,NA,NA,NA,NA,Republic of Korea,"Yes, full-time",NA,Yes
NA,"Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Back-end developer,27-29 years,NA,NA,NA,NA,NA,United States,No,U.S. dollars ($),No
3500,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);DevOps specialist;Front-end developer;Full-stack developer;System administrator",9-11 years,C;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;HTML;CSS;Bash/Shell,NA,NA,NA,25 - 34 years old,Spain,No,Euros (€),No
NA,Web development or web design,Fewer than 10 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;System administrator,3-5 years,NA,NA,NA,NA,NA,Spain,No,NA,No
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer,6-8 years,Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;SQLite;MariaDB;Memcached,AWS;Linux;Mac OS;Windows Desktop or Server,Django;Node.js,35 - 44 years old,Taiwan,"Yes, full-time",NA,Yes
NA,"Information systems, information technology, or system administration","10,000 or more employees",Back-end developer;Data or business analyst;Database administrator;DevOps specialist;System administrator,18-20 years,C;C#;Java;PHP;SQL;Bash/Shell,Redis;SQL Server;MySQL;Elasticsearch,Linux,NA,NA,Taiwan,"Yes, full-time",NA,Yes
31500,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Data or business analyst;Designer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Mobile developer;Product manager,3-5 years,C#;JavaScript;SQL;VB.NET;HTML;CSS,MongoDB;SQL Server;MySQL,AWS;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server;Firebase,.NET Core;Node.js,25 - 34 years old,India,No,Indian rupees (₹),No
35000,"Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer,3-5 years,C;C#;Java;JavaScript;Matlab;SQL;HTML;CSS,SQL Server,Android,NA,25 - 34 years old,Bangladesh,No,NA,Yes
170000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Front-end developer;Full-stack developer,12-14 years,C++;Go;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,NA,NA,Angular,25 - 34 years old,United States,No,U.S. dollars ($),No
50000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;DevOps specialist;Engineering manager;System administrator,30 or more years,C#;Go;JavaScript;SQL;HTML;CSS,"Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Elasticsearch",Azure;Serverless,.NET Core,35 - 44 years old,Denmark,No,Danish krone (kr),Yes
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Designer;Front-end developer;Full-stack developer,12-14 years,NA,NA,NA,NA,NA,India,No,NA,No
34000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;DevOps specialist;Full-stack developer,12-14 years,C#;SQL,SQL Server,Windows Desktop or Server,.NET Core,25 - 34 years old,Italy,No,Euros (€),No
NA,Web development or web design,10 to 19 employees,Full-stack developer,6-8 years,NA,NA,NA,NA,NA,Viet Nam,No,NA,No
NA,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,"C-suite executive (CEO, CTO, etc.);Database administrator;Designer;Desktop or enterprise applications developer;Full-stack developer;Mobile developer;Product manager",27-29 years,JavaScript;SQL;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL;Oracle,Android;Windows Desktop or Server,NA,45 - 54 years old,Germany,No,Euros (€),Yes
4000,Mathematics or statistics,"10,000 or more employees",Full-stack developer,30 or more years,C;C++;JavaScript;Matlab;Perl;Python;R;SQL;HTML;CSS;Bash/Shell,MySQL;SQLite,AWS;Google Cloud Platform/App Engine;Linux;Mac OS;Windows Desktop or Server,NA,55 - 64 years old,United States,"Yes, part-time",U.S. dollars ($),Yes
9000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Desktop or enterprise applications developer;Embedded applications or devices developer;Mobile developer,9-11 years,Objective-C;Swift,MySQL,iOS;Firebase,NA,25 - 34 years old,United Arab Emirates,No,NA,Yes
4500000,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Front-end developer;Mobile developer,0-2 years,Java;JavaScript,NA,NA,NA,NA,Indonesia,"Yes, full-time",NA,No
100000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Full-stack developer,12-14 years,C#;Groovy;Java;JavaScript;Python;SQL;HTML;CSS,SQL Server;MySQL;SQLite;Apache HBase,Linux;Windows Desktop or Server,Hadoop,25 - 34 years old,India,No,NA,Yes
70000,"Computer science, computer engineering, or software engineering",20 to 99 employees,DevOps specialist;Front-end developer;Full-stack developer,6-8 years,C#;Go;JavaScript;PHP;SQL;TypeScript;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;MySQL;SQLite,AWS;Heroku;Serverless;Firebase,Angular;.NET Core;Node.js,25 - 34 years old,Germany,No,Euros (€),Yes
NA,"Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Desktop or enterprise applications developer,6-8 years,C#;JavaScript;Python;SQL,SQL Server;MySQL;IBM Db2,Arduino,.NET Core,NA,India,"Yes, full-time",Indian rupees (₹),No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,6-8 years,C++;Java;JavaScript;Python;R;Ocaml;HTML;CSS;Bash/Shell,MongoDB,NA,Angular;Node.js;React,NA,United States,No,NA,No
42000,"Information systems, information technology, or system administration",10 to 19 employees,Back-end developer;Front-end developer;Full-stack developer,6-8 years,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,NA,25 - 34 years old,United Kingdom,No,British pounds sterling (£),No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;DevOps specialist;Engineering manager,NA,C++;C#;Go;JavaScript;Bash/Shell,NA,NA,NA,NA,India,"Yes, full-time",NA,No
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Desktop or enterprise applications developer,9-11 years,NA,NA,NA,NA,NA,Brazil,No,NA,No
75000,NA,Fewer than 10 employees,Back-end developer;Database administrator;Full-stack developer;System administrator,24-26 years,C#;JavaScript;SQL;VBA;VB.NET;HTML;CSS,SQL Server,NA,.NET Core,45 - 54 years old,New Zealand,No,NA,No
72800,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Game or graphics developer;Mobile developer,12-14 years,C#,MySQL,Android;iOS;Firebase,.NET Core,25 - 34 years old,Canada,No,Canadian dollars (C$),No
NA,"A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,NA,3-5 years,C#;Python,NA,Linux;Raspberry Pi;Windows Desktop or Server,TensorFlow,25 - 34 years old,United States,"Yes, full-time",NA,No
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Front-end developer;Student,0-2 years,NA,NA,NA,NA,NA,China,"Yes, full-time",NA,Yes
NA,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer,3-5 years,Java;JavaScript;SQL;HTML,MongoDB;SQL Server;MySQL;PostgreSQL;Oracle,NA,Spring,NA,India,No,NA,No
75000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Full-stack developer,9-11 years,C#;JavaScript;Ruby;HTML;CSS;Bash/Shell,"SQL Server;SQLite;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Heroku,.NET Core;Node.js;React,35 - 44 years old,United Kingdom,No,British pounds sterling (£),No
NA,"A business discipline (ex. accounting, finance, marketing)","5,000 to 9,999 employees",Engineering manager;Marketing or sales professional,0-2 years,C#;Java;JavaScript;CSS;Bash/Shell,"Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Android;Gaming console;Google Cloud Platform/App Engine;Google Home;Mainframe;Windows Desktop or Server;Windows Phone;WordPress,Node.js;Spring,35 - 44 years old,Poland,"Yes, part-time",NA,Yes
NA,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer,12-14 years,Go;Python;SQL,PostgreSQL;Google Cloud Storage,Google Cloud Platform/App Engine;Linux;Mac OS;Serverless,Spark,NA,Canada,No,Canadian dollars (C$),No
NA,"Computer science, computer engineering, or software engineering","10,000 or more employees",NA,30 or more years,JavaScript;Perl;Python;HTML,NA,Raspberry Pi;Windows Desktop or Server,NA,45 - 54 years old,United States,No,NA,No
150000,NA,100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;DevOps specialist;System administrator,12-14 years,Java;Python;R;Ruby;Scala;SQL;Bash/Shell,SQL Server;MySQL;PostgreSQL;Apache Hive;Amazon Redshift;Amazon RDS/Aurora,AWS;Heroku;Linux;Mac OS;Serverless,Hadoop;Spark,35 - 44 years old,United States,No,U.S. dollars ($),Yes
360000,"Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;DevOps specialist;Full-stack developer;Mobile developer,12-14 years,C#;JavaScript;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL,Arduino;Azure;ESP8266;Google Home;Heroku;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core;React;Xamarin,18 - 24 years old,Sweden,No,Swedish kroner (SEK),Yes
115000,"Information systems, information technology, or system administration",20 to 99 employees,Back-end developer,3-5 years,C#,"MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure,.NET Core,18 - 24 years old,Russian Federation,No,Russian rubles (₽),No
4000,"Computer science, computer engineering, or software engineering",10 to 19 employees,Back-end developer;Database administrator;Designer;Front-end developer;Full-stack developer;Product manager,12-14 years,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,Redis;PostgreSQL,AWS,NA,25 - 34 years old,New Zealand,No,NA,No
NA,"Information systems, information technology, or system administration",Fewer than 10 employees,Back-end developer;Front-end developer;Student,3-5 years,PHP;SQL;HTML;CSS,MySQL;MariaDB,Linux;WordPress,NA,25 - 34 years old,Bangladesh,"Yes, full-time",U.S. dollars ($),Yes
NA,NA,20 to 99 employees,Back-end developer,3-5 years,NA,NA,NA,NA,NA,United States,"Yes, full-time",NA,No
150000,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,6-8 years,Assembly;Objective-C;Python,MySQL,iOS;Mac OS,NA,25 - 34 years old,United States,No,U.S. dollars ($),No
31668,"Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Desktop or enterprise applications developer;Full-stack developer,12-14 years,C#;SQL;VB.NET,SQL Server,Windows Desktop or Server,NA,25 - 34 years old,United Kingdom,No,British pounds sterling (£),No
75000,"Computer science, computer engineering, or software engineering",500 to 999 employees,Front-end developer,12-14 years,JavaScript;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,Heroku;Mac OS;Raspberry Pi,.NET Core;Node.js;Cordova,25 - 34 years old,United States,No,U.S. dollars ($),No
70000,"Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Back-end developer;Designer;Front-end developer;Full-stack developer,12-14 years,C#;Haskell;JavaScript;Python;SQL;TypeScript;Kotlin;Ocaml;HTML;CSS;Bash/Shell,SQL Server,Android;Mac OS,Node.js;React,25 - 34 years old,United States,No,U.S. dollars ($),Yes
170000,"Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Front-end developer;Full-stack developer,6-8 years,JavaScript;PHP;TypeScript;HTML;CSS;Bash/Shell,MySQL;PostgreSQL,Android;Linux;WordPress,Node.js;React,18 - 24 years old,Russian Federation,"Yes, full-time",Russian rubles (₽),Yes
